DESCRIPTION,CODE1,CODE1TYPE,SETTING,DRUG_UNIT_OF_MEASUREMENT,DRUG_TYPE_OF_MEASUREMENT,STANDARD_CHARGEGROSS,STANDARD_CHARGEDISCOUNTED_CASH
GLYBURIDE 5 MG TABLET [3489],2315505801 [207263],NDC,BOTH,1,EA ,5.25,4.41
GLYBURIDE 5 MG TABLET [3489],5107987320 [56280],NDC,BOTH,1,EA ,3.68,3.09
GLYBURIDE 5 MG TABLET [3489],6373911910 [143133],NDC,BOTH,1,EA ,2.89,2.43
GLYCERIN (ADULT) RECTAL SUPPOSITORY [41003],0132007912 [10284],NDC,BOTH,12,EA ,30.19,25.36
GLYCERIN (CHILD) RECTAL SUPPOSITORY [76974],0132008112 [10288],NDC,BOTH,12,EA ,9.98,8.38
GLYCERIN (CHILD) RECTAL SUPPOSITORY [76974],5898040912 [281222],NDC,BOTH,12,EA ,65.89,55.35
GLYCERIN 99.5 % TOPICAL SOLUTION [82033],0395103196 [136588],NDC,BOTH,177,ML,57.49,48.29
GLYCINE 1.5 % UROLOGIC SOLUTION FOR IRRIGATION [3493],0264230270 [15776],NDC,BOTH,4000,ML,129.94,109.15
GLYCOPYRROLATE (PF) 0.2 MG/ML INJECTION SOLUTION [180003],5175460001 [309466],NDC,BOTH,1,ML,29.66,24.92
GLYCOPYRROLATE (PF) 0.2 MG/ML INJECTION SOLUTION [180003],5175460004 [309467],NDC,BOTH,1,ML,29.66,24.92
GLYCOPYRROLATE (PF) 0.2 MG/ML INJECTION SOLUTION [180003],5175460011 [309468],NDC,BOTH,2,ML,51.45,43.22
GLYCOPYRROLATE (PF) 0.2 MG/ML INJECTION SOLUTION [180003],5175460014 [309469],NDC,BOTH,2,ML,51.45,43.22
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],0143968001 [238524],NDC,BOTH,5,ML,77.96,65.49
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],0143968025 [238525],NDC,BOTH,5,ML,77.96,65.49
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],0143968225 [238529],NDC,BOTH,1,ML,20.48,17.2
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],0517460125 [20548],NDC,BOTH,1,ML,105.79,88.86
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],0517460225 [20549],NDC,BOTH,2,ML,150.41,126.35
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],0517460525 [20550],NDC,BOTH,5,ML,217.09,182.35
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],0781382596 [323201],NDC,BOTH,1,ML,22.84,19.18
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],0781382772 [323202],NDC,BOTH,2,ML,45.68,38.37
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],0781382796 [323203],NDC,BOTH,2,ML,45.68,38.37
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],5175460001 [309466],NDC,BOTH,1,ML,29.66,24.92
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],5175460004 [309467],NDC,BOTH,1,ML,29.66,24.92
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],5175460011 [309468],NDC,BOTH,2,ML,51.45,43.22
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],5175460014 [309469],NDC,BOTH,2,ML,51.45,43.22
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],6050561800 [328295],NDC,BOTH,2,ML,113.66,95.48
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],6050561805 [328296],NDC,BOTH,2,ML,113.66,95.48
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],6332357811 [307338],NDC,BOTH,1,ML,25.99,21.83
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],6332357812 [307339],NDC,BOTH,2,ML,43.84,36.82
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],6332357841 [307342],NDC,BOTH,1,ML,25.99,21.83
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],6332357842 [307343],NDC,BOTH,2,ML,43.84,36.82
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],6679420242 [317397],NDC,BOTH,1,ML,18.9,15.88
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],6679420302 [317398],NDC,BOTH,2,ML,31.24,26.24
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],7006901101 [296256],NDC,BOTH,1,ML,21.79,18.3
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],7006901125 [296257],NDC,BOTH,1,ML,21.79,18.3
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],7006901201 [296258],NDC,BOTH,2,ML,44.1,37.04
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],7006901225 [296259],NDC,BOTH,2,ML,44.1,37.04
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],7012113951 [296270],NDC,BOTH,2,ML,113.14,95.04
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],7012113955 [296271],NDC,BOTH,2,ML,113.14,95.04
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION PF AND NONPF WRAPPER [408119135],7700539000 [287673],NDC,BOTH,2,ML,103.95,87.32
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],0143968001 [238524],NDC,BOTH,5,ML,77.96,65.49
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],0143968025 [238525],NDC,BOTH,5,ML,77.96,65.49
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],0143968225 [238529],NDC,BOTH,1,ML,20.48,17.2
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],0517460125 [20548],NDC,BOTH,1,ML,105.79,88.86
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],0517460225 [20549],NDC,BOTH,2,ML,150.41,126.35
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],0517460525 [20550],NDC,BOTH,5,ML,217.09,182.35
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],0781382571 [323200],NDC,BOTH,1,ML,22.84,19.18
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],0781382596 [323201],NDC,BOTH,1,ML,22.84,19.18
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],0781382772 [323202],NDC,BOTH,2,ML,45.68,38.37
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],0781382796 [323203],NDC,BOTH,2,ML,45.68,38.37
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],6050561800 [328295],NDC,BOTH,2,ML,113.66,95.48
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],6050561805 [328296],NDC,BOTH,2,ML,113.66,95.48
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],6332357811 [307338],NDC,BOTH,1,ML,25.99,21.83
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],6332357812 [307339],NDC,BOTH,2,ML,43.84,36.82
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],6332357841 [307342],NDC,BOTH,1,ML,25.99,21.83
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],6332357842 [307343],NDC,BOTH,2,ML,43.84,36.82
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],6679420242 [317397],NDC,BOTH,1,ML,18.9,15.88
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],6679420302 [317398],NDC,BOTH,2,ML,31.24,26.24
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],7006901101 [296256],NDC,BOTH,1,ML,21.79,18.3
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],7006901125 [296257],NDC,BOTH,1,ML,21.79,18.3
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],7006901201 [296258],NDC,BOTH,2,ML,44.1,37.04
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],7006901225 [296259],NDC,BOTH,2,ML,44.1,37.04
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],7012113951 [296270],NDC,BOTH,2,ML,113.14,95.04
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],7012113955 [296271],NDC,BOTH,2,ML,113.14,95.04
GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],7700539000 [287673],NDC,BOTH,2,ML,103.95,87.32
GLYCOPYRROLATE 0.2 MG/ML RIVA INJECTION SOLUTION [408037],00000000298 [285288],NDC,BOTH,2,ML,107.36,90.18
GLYCOPYRROLATE 1 MG TABLET [10130],0904670961 [321206],NDC,BOTH,1,EA ,8.66,7.28
GLYCOPYRROLATE 1 MG TABLET [10130],1310701401 [277624],NDC,BOTH,1,EA ,8.66,7.28
GLYCOPYRROLATE 1 MG TABLET [10130],4988406501 [140585],NDC,BOTH,1,EA ,8.66,7.28
GLYCOPYRROLATE 1 MG TABLET [10130],5511164801 [165730],NDC,BOTH,1,EA ,8.66,7.28
GLYCOPYRROLATE 1 MG TABLET [10130],6068727001 [296084],NDC,BOTH,1,EA ,8.14,6.84
GLYCOPYRROLATE 1 MG TABLET [10130],6068727011 [296085],NDC,BOTH,1,EA ,8.14,6.84
GLYCOPYRROLATE 9 MCGFORMOTEROL 4.8 MCG HFA AEROSOL INHALER [172796],0310460012 [288952],NDC,BOTH,10.7,GM,1629.6,1368.86
GLYCOPYRROLATE 9 MCGFORMOTEROL 4.8 MCG HFA AEROSOL INHALER [172796],0310460039 [296640],NDC,BOTH,5.9,GM,872.55,732.94
GOSERELIN 10.8 MG SUBCUTANEOUS IMPLANT [16254],7072095130 [302068],NDC,BOTH,1,EA ,5966.36,5011.74
GOSERELIN 3.6 MG SUBCUTANEOUS IMPLANT [10137],7072095036 [304424],NDC,BOTH,1,EA ,2452.28,2059.91
GRANISETRON 3.1 MG/24 HOUR WEEKLY TRANSDERMAL PATCH [93997],4274772601 [171578],NDC,BOTH,1,EA ,2260.39,1898.73
GUAIFENESIN 100 MG/5 ML ORAL LIQUID [3542],0121115500 [304920],NDC,BOTH,10,ML,4.99,4.19
GUAIFENESIN 100 MG/5 ML ORAL LIQUID [3542],0121148800 [296607],NDC,BOTH,10,ML,4.2,3.53
GUAIFENESIN 100 MG/5 ML ORAL LIQUID [3542],0121148810 [296608],NDC,BOTH,10,ML,4.2,3.53
GUAIFENESIN 100 MG/5 ML ORAL LIQUID [3542],0121174410 [123400],NDC,BOTH,10,ML,4.2,3.53
GUAIFENESIN 100 MG/5 ML ORAL LIQUID [3542],5038306310 [263465],NDC,BOTH,10,ML,3.68,3.09
GUAIFENESIN 100 MG/5 ML ORAL LIQUID [3542],5038306312 [219216],NDC,BOTH,10,ML,3.68,3.09
GUAIFENESIN 100 MG/5 ML ORAL LIQUID [3542],5483811740 [69320],NDC,BOTH,118,ML,21.26,17.86
GUAIFENESIN 100 MG/5 ML ORAL LIQUID [3542],5483811770 [69321],NDC,BOTH,237,ML,42.26,35.5
GUAIFENESIN 100 MG/5 ML ORAL LIQUID [3542],6056906304 [264745],NDC,BOTH,118,ML,28.09,23.59
GUAIFENESIN 100 MG/5 ML ORAL LIQUID [3542],7700205310 [323259],NDC,BOTH,10,ML,2.36,1.98
GUANFACINE 1 MG TABLET [10149],0591044401 [21857],NDC,BOTH,1,EA ,5.78,4.85
GUANFACINE 1 MG TABLET [10149],2930045801 [338063],NDC,BOTH,1,EA ,8.4,7.06
GUANFACINE 1 MG TABLET [10149],6516271110 [184170],NDC,BOTH,1,EA ,6.83,5.73
GUANFACINE 1 MG TABLET [10149],6808474825 [282445],NDC,BOTH,1,EA ,12.86,10.8
GUANFACINE 1 MG TABLET [10149],6808474895 [282446],NDC,BOTH,1,EA ,12.86,10.8
HAEMOPH B POLYSAC CONJMENING (PF) 7.5 MCG/0.5 ML INTRAMUSCULAR SOLN [126228],0006489701 [246331],NDC,BOTH,0.5,ML,136.24,114.44
HAEMOPHILUS B POLYSACCHARID CONJTETANUS TOX(PF) 10 MCG/0.5 ML IM SOLN [11931],4928154503 [285978],NDC,BOTH,1,EA ,141.23,118.63
HAEMOPHILUS B POLYSACCHARID CONJTETANUS TOX(PF) 10 MCG/0.5 ML IM SOLN [11931],4928154758 [263331],NDC,BOTH,1,EA ,141.23,118.63
HAEMOPHILUS B POLYSACCHARID CONJTETANUS TOX(PF) 10 MCG/0.5 ML IM SOLN [11931],5816081811 [286282],NDC,BOTH,1,EA ,89.25,74.97
HALOPERIDOL 0.5 MG TABLET [3578],0378035101 [17755],NDC,BOTH,1,EA ,2.36,1.98
HALOPERIDOL 0.5 MG TABLET [3578],0378035110 [17756],NDC,BOTH,1,EA ,2.36,1.98
HALOPERIDOL 0.5 MG TABLET [3578],0781139101 [24942],NDC,BOTH,1,EA ,2.36,1.98
HALOPERIDOL 0.5 MG TABLET [3578],5107973301 [141060],NDC,BOTH,1,EA ,2.36,1.98
HALOPERIDOL 0.5 MG TABLET [3578],5107973320 [101374],NDC,BOTH,1,EA ,2.36,1.98
HALOPERIDOL 1 MG TABLET [3579],0378025701 [17729],NDC,BOTH,1,EA ,3.15,2.65
HALOPERIDOL 1 MG TABLET [3579],0781139201 [24945],NDC,BOTH,1,EA ,3.15,2.65
HALOPERIDOL 1 MG TABLET [3579],5107973420 [101375],NDC,BOTH,1,EA ,3.41,2.87
HALOPERIDOL 2 MG TABLET [3581],0378021401 [17703],NDC,BOTH,1,EA ,4.2,3.53
HALOPERIDOL 2 MG TABLET [3581],0781139301 [24948],NDC,BOTH,1,EA ,4.2,3.53
HALOPERIDOL 2 MG TABLET [3581],0832153011 [325966],NDC,BOTH,1,EA ,8.14,6.84
HALOPERIDOL 2 MG TABLET [3581],5107973520 [101376],NDC,BOTH,1,EA ,4.46,3.75
HALOPERIDOL 5 MG TABLET [3583],0781139601 [24951],NDC,BOTH,1,EA ,6.83,5.73
HALOPERIDOL 5 MG TABLET [3583],0781139613 [24953],NDC,BOTH,1,EA ,6.56,5.51
HALOPERIDOL 5 MG TABLET [3583],5107973601 [141063],NDC,BOTH,1,EA ,7.35,6.17
HALOPERIDOL 5 MG TABLET [3583],5107973620 [101377],NDC,BOTH,1,EA ,7.35,6.17
HALOPERIDOL 5 MG TABLET [3583],6068716101 [281523],NDC,BOTH,1,EA ,7.35,6.17
HALOPERIDOL 5 MG TABLET [3583],6068716111 [281524],NDC,BOTH,1,EA ,7.35,6.17
HALOPERIDOL 5 MG TABLET [3583],6838207901 [275472],NDC,BOTH,1,EA ,6.83,5.73
HALOPERIDOL DECANOATE 50 MG/ML INTRAMUSCULAR SOLUTION [10163],0703701101 [299336],NDC,BOTH,1,ML,149.36,125.46
HALOPERIDOL DECANOATE 50 MG/ML INTRAMUSCULAR SOLUTION [10163],0703701103 [24436],NDC,BOTH,1,ML,149.36,125.46
HALOPERIDOL DECANOATE 50 MG/ML INTRAMUSCULAR SOLUTION [10163],1014709213 [209799],NDC,BOTH,1,ML,162.49,136.49
HALOPERIDOL DECANOATE 50 MG/ML INTRAMUSCULAR SOLUTION [10163],6332346901 [89865],NDC,BOTH,1,ML,176.4,148.18
HALOPERIDOL LACTATE 2 MG/ML ORAL CONCENTRATE [3585],0121058105 [10143],NDC,BOTH,5,ML,27.3,22.93
HALOPERIDOL LACTATE 2 MG/ML ORAL CONCENTRATE [3585],5483850115 [69353],NDC,BOTH,15,ML,209.21,175.74
HALOPERIDOL LACTATE 2 MG/ML ORAL CONCENTRATE [3585],7700124101 [323260],NDC,BOTH,1,ML,11.55,9.7
HALOPERIDOL LACTATE 5 MG/ML INJECTION SOLUTION [3584],0143950125 [295101],NDC,BOTH,1,ML,12.6,10.58
HALOPERIDOL LACTATE 5 MG/ML INJECTION SOLUTION [3584],1014709111 [209798],NDC,BOTH,1,ML,48.04,40.35
HALOPERIDOL LACTATE 5 MG/ML INJECTION SOLUTION [3584],2502180601 [217165],NDC,BOTH,1,ML,39.11,32.85
HALOPERIDOL LACTATE 5 MG/ML INJECTION SOLUTION [3584],6332347400 [307327],NDC,BOTH,1,ML,46.73,39.25
HALOPERIDOL LACTATE 5 MG/ML INJECTION SOLUTION [3584],6332347401 [89872],NDC,BOTH,1,ML,46.73,39.25
HALOPERIDOL LACTATE 5 MG/ML INJECTION SOLUTION [3584],6745742612 [252492],NDC,BOTH,1,ML,9.45,7.94
HEMIN 350 MG INTRAVENOUS POWDER FOR SOLUTION [176195],5529270254 [296035],NDC,BOTH,1,ME,3158.93,2653.5
HEMIN 350 MG INTRAVENOUS POWDER FOR SOLUTION [176195],5529270254 [296035],NDC,BOTH,350,ME,17008.95,14287.52
HEMIN 350 MG INTRAVENOUS POWDER FOR SOLUTION [176195],5529270255 [296036],NDC,BOTH,350,ME,17008.95,14287.52
HEP BDP(A)TPOLIO VACC (PF) 10 MCG25LF25 MCG10LF/0.5 ML IM SYRINGE [34550],5816081152 [206402],NDC,BOTH,0.5,ML,423.68,355.89
HEPARIN FOR LINE PLACEMENT MIXTURE 0.25 UNITS/ML (NEO/PED) [400492],7700700900 [289103],NDC,BOTH,100,ML,84.53,71
HEPARIN LOCK FLUSH (PORCINE) 100 UNIT/ML INTRAVENOUS SOLUTION [128632],6332354501 [89886],NDC,BOTH,1,ML,12.6,10.58
HEPATITIS A AND B VIRUS VACCINE(PF)720 ELISA UNIT20 MCG/ML IM SYRINGE [130745],5816081552 [208382],NDC,BOTH,1,ML,531.04,446.07
HEPATITIS A VIRUS VACCINE (PF) 720 ELISA UNIT/0.5 ML IM SYRINGE [91033],5816082552 [199696],NDC,BOTH,0.5,ML,217.88,183.02
HEPATITIS B IMMUNE GLOBULIN 110 UNIT/0.5 ML INTRAMUSCULAR SYRINGE [130421],1353363603 [124372],NDC,BOTH,0.5,ML,209.48,175.96
HEPATITIS B IMMUNE GLOBULIN 220 UNIT/ML (5 ML) INTRAMUSCULAR SOLUTION [130420],1353363605 [124373],NDC,BOTH,5,ML,3158.14,2652.84
HEPATITIS B IMMUNE GLOBULIN 220 UNIT/ML INTRAMUSCULAR SYRINGE [130409],1353363602 [124371],NDC,BOTH,1,ML,688.01,577.93
HEPATITIS B IMMUNE GLOBULIN GREATR THAN 312 UNIT/ML INTRAMUSCULAR SOLN [10183],5973042021 [82892],NDC,BOTH,1,ML,767.29,644.52
HEPATITIS B IMMUNE GLOBULINMALTOSE >312 UNIT/ML (5 ML) INJECTION SOLN [130083],7025705105 [315972],NDC,BOTH,5,ML,2979.9,2503.12
HEPATITIS B IMMUNE GLOBULINMALTOSE >312 UNIT/ML (5 ML) INJECTION SOLN [130083],7025705151 [315973],NDC,BOTH,5,ML,2979.9,2503.12
HEPATITIS B IMMUNE GLOBULINMALTOSE >312 UNIT/ML INJECTION SOLUTION [88654],7025705211 [323756],NDC,BOTH,1,ML,799.58,671.64
HEPATITIS B IMMUNE GLOBULINMALTOSE >312 UNIT/ML INJECTION SOLUTION [88654],7025705251 [323757],NDC,BOTH,1,ML,799.58,671.64
HEPATITIS B VIRUS VACCINE RECOMB (PF) 10 MCG/0.5 ML IM SYRINGE [130543],5816082043 [264561],NDC,BOTH,0.5,ML,158.29,132.96
HEPATITIS B VIRUS VACCINE RECOMB (PF) 10 MCG/0.5 ML IM SYRINGE [130543],5816082052 [199693],NDC,BOTH,0.5,ML,158.29,132.96
HEPATITIS B VIRUS VACCINE RECOMB (PF) 20 MCG/ML INJECTION [171599],5816082101 [264562],NDC,BOTH,1,ML,292.43,245.64
HEPATITIS B VIRUS VACCINE RECOMB (PF) 20 MCG/ML INJECTION [171599],5816082152 [208383],NDC,BOTH,1,ML,292.43,245.64
HEPATITIS B VIRUS VACCINE RECOMB (PF) 20 MCG/ML INTRAMUSCULAR SUSP [130547],5816082101 [264562],NDC,BOTH,1,ML,292.43,245.64
HEPATITIS B VIRUS VACCINE RECOMB (PF) 20 MCG/ML INTRAMUSCULAR SUSP [130547],5816082111 [160389],NDC,BOTH,1,ML,292.43,245.64
HEPATITIS B VIRUS VACCINE RECOMB (PF) 20 MCG/ML INTRAMUSCULAR SYRINGE [130502],5816082152 [208383],NDC,BOTH,1,ML,292.43,245.64
HETASTARCH 6 % IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION [25174],0264196510 [15755],NDC,BOTH,500,ML,185.06,155.45
HETASTARCH 6 % IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION [25174],0409724803 [120854],NDC,BOTH,500,ML,172.2,144.65
HETASTARCH 6 % IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION [25174],0409724813 [287457],NDC,BOTH,500,ML,172.2,144.65
HUM PROTHROMBIN CPLX (PCC) 4FACTOR 500 UNIT (400620 UNIT) IV SOLUTION [135226],6383338602 [245408],NDC,BOTH,500,F2,1648.5,1384.74
HUM PROTHROMBIN CPLX (PCC) 4FACTOR 500 UNIT (400620 UNIT) IV SOLUTION [135226],6383339601 [265876],NDC,BOTH,500,F2,1648.5,1384.74
HUMAN PROTHROMBIN COMPLEX (KCENTRA) INJECTION [172712],6383338602 [245408],NDC,BOTH,500,F2,1648.5,1384.74
HUMAN PROTHROMBIN COMPLEX (KCENTRA) INJECTION [172712],6383338702 [252253],NDC,BOTH,1000,F2,3297,2769.48
HUMAN PROTHROMBIN COMPLEX (KCENTRA) INJECTION [172712],6383339601 [265876],NDC,BOTH,500,F2,1648.5,1384.74
HUMAN PROTHROMBIN COMPLEX (KCENTRA) INJECTION [172712],6383339701 [265877],NDC,BOTH,1000,F2,3297,2769.48
HYALURONIDASE (OVINE) 200 UNIT/ML INJECTION SOLUTION [40449],2420800202 [277895],NDC,BOTH,1.2,ML,514.24,431.96
HYDRALAZINE 10 MG TABLET [3698],0904644061 [277068],NDC,BOTH,1,EA ,2.63,2.21
HYDRALAZINE 10 MG TABLET [3698],2315500101 [187380],NDC,BOTH,1,EA ,1.58,1.32
HYDRALAZINE 10 MG TABLET [3698],5011139801 [53704],NDC,BOTH,1,EA ,2.89,2.43
HYDRALAZINE 10 MG TABLET [3698],5107907420 [158709],NDC,BOTH,1,EA ,2.89,2.43
HYDRALAZINE 10 MG TABLET [3698],6808444701 [201868],NDC,BOTH,1,EA ,3.68,3.09
HYDRALAZINE 10 MG TABLET [3698],6808444711 [201869],NDC,BOTH,1,EA ,3.68,3.09
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],0517090101 [332435],NDC,BOTH,1,ML,117.08,98.34
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],0517090125 [20490],NDC,BOTH,1,ML,117.08,98.34
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],0641623101 [337927],NDC,BOTH,1,ML,117.08,98.34
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],0641623125 [337928],NDC,BOTH,1,ML,117.08,98.34
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],1747893401 [187193],NDC,BOTH,1,ML,209.48,175.96
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],1747893415 [227057],NDC,BOTH,1,ML,73.24,61.52
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],3982205001 [278626],NDC,BOTH,1,ML,73.24,61.52
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],3982205004 [278627],NDC,BOTH,1,ML,73.24,61.52
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],6332361400 [301656],NDC,BOTH,1,ML,111.83,93.93
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],6332361401 [89891],NDC,BOTH,1,ML,111.83,93.93
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],6332361416 [282010],NDC,BOTH,1,ML,27.3,22.93
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],6745729100 [286817],NDC,BOTH,1,ML,504.26,423.58
HYDRALAZINE 20 MG/ML INJECTION SOLUTION [3697],6745729101 [286818],NDC,BOTH,1,ML,504.26,423.58
HYDRALAZINE 25 MG TABLET [3700],2315500201 [147411],NDC,BOTH,1,EA ,1.58,1.32
HYDRALAZINE 25 MG TABLET [3700],3172252001 [170364],NDC,BOTH,1,EA ,3.41,2.87
HYDRALAZINE 25 MG TABLET [3700],5011132701 [53665],NDC,BOTH,1,EA ,3.41,2.87
HYDRALAZINE 25 MG TABLET [3700],5011132703 [53666],NDC,BOTH,1,EA ,3.41,2.87
HYDRALAZINE 25 MG TABLET [3700],5107907520 [158713],NDC,BOTH,1,EA ,3.41,2.87
HYDRALAZINE 25 MG TABLET [3700],6258473301 [166155],NDC,BOTH,1,EA ,2.89,2.43
HYDRALAZINE 25 MG TABLET [3700],6373912610 [190434],NDC,BOTH,1,EA ,2.89,2.43
HYDRALAZINE 50 MG TABLET [3701],0904644261 [277070],NDC,BOTH,1,EA ,2.63,2.21
HYDRALAZINE 50 MG TABLET [3701],2315500301 [147413],NDC,BOTH,1,EA ,3.68,3.09
HYDRALAZINE 50 MG TABLET [3701],3172252101 [170366],NDC,BOTH,1,EA ,3.68,3.09
HYDRALAZINE 50 MG TABLET [3701],3172252110 [170367],NDC,BOTH,1,EA ,3.68,3.09
HYDRALAZINE 50 MG TABLET [3701],5011132801 [53667],NDC,BOTH,1,EA ,3.68,3.09
HYDRALAZINE 50 MG TABLET [3701],5011132803 [53668],NDC,BOTH,1,EA ,3.68,3.09
HYDRALAZINE 50 MG TABLET [3701],5107907601 [158714],NDC,BOTH,1,EA ,3.68,3.09
HYDRALAZINE 50 MG TABLET [3701],5107907620 [158717],NDC,BOTH,1,EA ,3.68,3.09
HYDRALAZINE 50 MG TABLET [3701],6258473401 [166157],NDC,BOTH,1,EA ,2.89,2.43
HYDRALAZINE 50 MG TABLET [3701],6373912710 [190435],NDC,BOTH,1,EA ,2.36,1.98
HYDRALAZINE 50 MG TABLET [3701],6373932810 [327672],NDC,BOTH,1,EA ,2.63,2.21
HYDRALAZINE 50 MG TABLET [3701],6438073506 [252273],NDC,BOTH,1,EA ,3.68,3.09
HYDRALAZINE 50 MG TABLET [3701],7628231110 [287164],NDC,BOTH,1,EA ,3.15,2.65
HYDROCHLOROTHIAZIDE 12.5 MG TABLET [76988],0228282011 [136441],NDC,BOTH,1,EA ,5.51,4.63
HYDROCHLOROTHIAZIDE 12.5 MG TABLET [76988],1672918201 [239390],NDC,BOTH,1,EA ,2.89,2.43
HYDROCHLOROTHIAZIDE 25 MG TABLET [3720],0172208360 [10827],NDC,BOTH,1,EA ,1.58,1.32
